[2023-06-27 18:09:54, INFO] 19-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:34, INFO] Start..
[2023-06-27 18:10:42, INFO] 1-th Product: No Before-Discount Price Info
[2023-06-27 18:10:42, INFO] 1-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:42, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-27 18:10:42, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:42, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-27 18:10:42, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:42, INFO] 10-th Product: No Before-Discount Price Info
[2023-06-27 18:10:42, INFO] 10-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:42, INFO] 13-th Product: No Before-Discount Price Info
[2023-06-27 18:10:42, INFO] 13-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:42, INFO] 15-th Product: No Before-Discount Price Info
[2023-06-27 18:10:42, INFO] 15-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:42, INFO] 18-th Product: No Before-Discount Price Info
[2023-06-27 18:10:42, INFO] 18-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:42, INFO] 19-th Product: No Before-Discount Price Info
[2023-06-27 18:10:42, INFO] 19-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:43, INFO] 26-th Product: No Before-Discount Price Info
[2023-06-27 18:10:43, INFO] 26-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:43, INFO] 29-th Product: No Before-Discount Price Info
[2023-06-27 18:10:43, INFO] 29-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:43, INFO] 32-th Product: No Before-Discount Price Info
[2023-06-27 18:10:43, INFO] 32-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:43, INFO] 43-th Product: No Before-Discount Price Info
[2023-06-27 18:10:43, INFO] 43-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:43, INFO] 45-th Product: No Before-Discount Price Info
[2023-06-27 18:10:43, INFO] 45-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:43, INFO] 47-th Product: No Before-Discount Price Info
[2023-06-27 18:10:43, INFO] 47-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:43, INFO] 54-th Product: No Before-Discount Price Info
[2023-06-27 18:10:43, INFO] 54-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:43, INFO] 55-th Product: No Before-Discount Price Info
[2023-06-27 18:10:43, INFO] 55-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:43, INFO] 58-th Product: No Before-Discount Price Info
[2023-06-27 18:10:43, INFO] 58-th Product: No Price-Discount Rate Info
[2023-06-27 18:10:43, INFO] 61-th Product: No Before-Discount Price Info
